accident_id,0,factor_id,1
2694,2694,31,31
2694,2694,43,43
2697,2697,31,31
2697,2697,43,43
3421,3421,31,31
3427,3427,37,37
3429,3429,37,37
2710,2710,37,37
3431,3431,43,43
2720,2720,37,37
2729,2729,37,37
2731,2731,37,37
3443,3443,37,37
2733,2733,31,31
2733,2733,43,43
2733,2733,101,101
2739,2739,40,40
2743,2743,31,31
2743,2743,43,43
3454,3454,37,37
3455,3455,43,43
2751,2751,37,37
2753,2753,31,31
2753,2753,43,43
2755,2755,31,31
2755,2755,43,43
2759,2759,31,31
2783,2783,31,31
2783,2783,43,43
3469,3469,101,101
94248,94248,41,41
3471,3471,37,37
3474,3474,31,31
3476,3476,37,37
2831,2831,31,31
3479,3479,37,37
2848,2848,101,101
2855,2855,37,37
3487,3487,43,43
2876,2876,37,37
3492,3492,37,37
2887,2887,37,37
3495,3495,31,31
3495,3495,43,43
3496,3496,101,101
3498,3498,31,31
3498,3498,43,43
3498,3498,101,101
2912,2912,37,37
2926,2926,37,37
3503,3503,31,31
3503,3503,43,43
2928,2928,31,31
2937,2937,37,37
2943,2943,37,37
2955,2955,31,31
2955,2955,37,37
3508,3508,31,31
3508,3508,43,43
2955,2955,43,43
3510,3510,31,31
3510,3510,43,43
2976,2976,43,43
596,596,31,31
3006,3006,31,31
3013,3013,101,101
3045,3045,35,35
3045,3045,36,36
3045,3045,43,43
3057,3057,37,37
3076,3076,31,31
3076,3076,43,43
3080,3080,31,31
8139,8139,37,37
2390,2390,43,43
3532,3532,101,101
3534,3534,36,36
3534,3534,101,101
3080,3080,43,43
3087,3087,31,31
3087,3087,42,42
3088,3088,37,37
3090,3090,31,31
3543,3543,31,31
3543,3543,43,43
3091,3091,43,43
3094,3094,43,43
3546,3546,101,101
3547,3547,37,37
3096,3096,31,31
3096,3096,101,101
3098,3098,37,37
3100,3100,31,31
3109,3109,43,43
3551,3551,43,43
3110,3110,37,37
3112,3112,101,101
3113,3113,36,36
3115,3115,31,31
